title,tag_stem
Dunkirk,action drama history thriller canal studio canal warner bros syncopy ratpacdune entertainment kaap holland film miraculous evacuation allied soldiers belgium britain canada france surrounded german army beaches harbor dunkirk france june battle france world
Atomic Blonde,action thriller denver delilah productions film focus features eleven closed mondays entertainment undercover agent sent berlin cold investigate murder fellow agent recover missing list double agents
What Happened to Monday,science fiction thriller vendome pictures nexus factory umedia films raffaella productions title media world families limited child overpopulation identical septuplets must avoid long sleep government dangerous infighting investigating disappearance
War for the Planet of the Apes,planet apes reboot collection drama science fiction chernin entertainment caesar apes forced deadly conflict army humans ruthless colonel apes suffer unimaginable losses caesar wrestles darker instincts begins mythic quest avenge kind journey finally brings face face caesar colonel pitted epic battle determine fate species future planet
Despicable Me 3,despicable collection action animation adventure family comedy illumination entertainment wife lucy must stop former child star balthazar bratt achieving world domination
Rough Night,drama comedy sony pictures entertainment paulilu productions five best friends college reunite years later wild bachelorette weekend miami hard partying takes hilariously dark turn accidentally kill male stripper amidst craziness trying cover theyre ultimately brought closer together matters
Okja,adventure drama fantasy science fiction plan entertainment lewis pictures kate street picture company young girl named mija risks everything prevent powerful multinational company kidnapping best friend massive animal named okja
The Dark Tower,action western science fiction fantasy horror imagine entertainment weed road pictures media rights capital sony pictures entertainment last gunslinger roland deschain locked eternal battle walter also known black determined prevent toppling dark tower holds universe together fate worlds stake good evil collide ultimate battle roland defend tower black
The Emoji Movie,comedy family animation columbia pictures sony pictures animation gene multiexpressional emoji sets journey become normal emoji
Shot Caller,drama crime thriller bold films participant media relativity media directv newlyreleased prison gangster forced leaders gang orchestrate major crime brutal rival gang streets southern california
Cars 3,cars collection family comedy animation adventure walt disney pictures pixar animation studios blindsided generation blazingfast racers legendary lightning mcqueen suddenly pushed sport loves back game need help eager young race technician plan inspiration late fabulous hudson hornet unexpected turns proving isnt test heart champion piston racing biggest stage
It Comes at Night,horror mystery thriller animal kingdom secure within desolate home unnatural threat terrorizes world established tenuous domestic order wife soon test desperate young family arrives seeking refuge
Baby Driver,action crime talk productions tristar pictures media rights capital working title films double negative coerced working crime boss young getaway driver finds taking part heist doomed fail
The Mummy,thriller action adventure universal pictures sean daniel company secret hideout though safely entombed crypt deep beneath unforgiving desert ancient queen whose destiny unjustly taken awakened current bringing malevolence grown millennia terrors defy human comprehension
Smurfs: The Lost Village,smurfs theatrical collection adventure animation comedy family columbia pictures sony pictures animation kerner entertainment company fully animated allnew take smurfs mysterious sets smurfette friends brainy clumsy hefty exciting race forbidden forest leading discovery biggest secret smurf history
Power Rangers,action adventure science fiction lionsgate saban brands sabans power rangers follows five ordinary teens must become something extraordinary learn small town angel grove world verge obliterated alien threat chosen destiny heroes quickly discover ones save planet overcome reallife issues late band together power rangers
Baywatch,action comedy paramount pictures montecito picture company flynn picture company fremantle productions seven bucks productions skydance media uncharted devoted lifeguard mitch buchannon butts heads brash recruit together uncover local criminal plot threatens future
Going in Style,crime comedy drama line cinema village roadshow pictures line pictures warner bros ratpacdune entertainment desperate bills come loved ones three lifelong pals risk embarking daring knock bank absconded money
Alibi.com,comedy studiocanal films production greg founded company called alibicom creates type alibi associate augustin medhi employee devise unstoppable stratagems stagings cover clients meeting pretty blonde hates complicate gregs life begins hiding true nature activity presentation parents greg understands rard father also clients
Alien: Covenant,prometheus collection horror science fiction thriller twentieth century film corporation scott free productions brandywine productions entertainment bound remote planet side galaxy crew colony ship covenant discovers thought uncharted paradise actually dark dangerous world sole inhabitant synthetic david survivor doomed prometheus expedition
The Discovery,drama romance science fiction thriller endgame entertainment protagonist pictures netflix near future breakthrough scientific discovery thomas harbor definitive proof afterlife countless people chosen suicide reset existence others decide means among harbors arrived fathers isolated compound mysterious young woman named isla discover strange acolytes help harbor experiments
"Everything, Everything",drama romance metrogoldwynmayer alloy entertainment itaca films teenager whos lived sheltered life shes allergic everything falls moves next door
Transformers: The Last Knight,transformers collection action science fiction thriller adventure paramount pictures bonaventura pictures angry films hasbro studios autobots decepticons humans sidelines optimus prime gone saving future lies buried secrets past hidden history transformers earth
Gifted,drama searchlight pictures filmnation entertainment dayday films grade entertainment frank single raising child prodigy niece mary drawn custody battle mother
The Huntsman: Winter's War,huntsman collection action adventure drama universal pictures perfect world pictures roth films evil sisters prepare conquer land renegades eric huntsman aided snow white defeating ravenna snowwhite huntsman forbidden lover sara stop
Zootopia,animation adventure family comedy walt disney pictures walt disney animation studios determined prove officer judy hopps first bunny zootopias police force jumps chance crack first case even means partnering scamartist nick wilde solve mystery
The Choice,drama romance lionsgate nicholas sparks productions travis gabby first meet neighbors small coastal town wind relationship tested lifes defining events
Hunt for the Wilderpeople,drama adventure comedy defender films piki films curious film ricky defiant young city finds cantankerous foster uncle wild zealand bush national manhunt ensues forced aside differences work together survive
Money Monster,thriller tristar pictures sony pictures releasing smokehouse pictures lstar capital allegiance theater financial host gates producer patty extreme situation irate investor takes studio
The Man Who Knew Infinity,drama animus films edward pressman film kreo films xeitgeist entertainment group american entertainment investors growing poor madras india srinivasa ramanujan iyengar earns admittance cambridge university becomes pioneer mathematical theories guidance professor hardy
Hush,horror thriller intrepid pictures blumhouse productions deaf woman stalked psychotic killer secluded home
Neighbors 2: Sorority Rising,neighbors collection comedy universal pictures perfect world pictures point grey pictures good universe sorority moves next door home kelly radner young child radners enlist former nemeses fraternity help battle raucous sisters
Whiskey Tango Foxtrot,comedy paramount pictures broadway video little stranger cable news producer barker tina decides shake routine taking daring assignment kabul afghanistan dislodged comfortable american lifestyle barker finds middle outofcontrol zone luckily meets tanya vanderpoel margot robbie fellow journalist takes shellshocked reporter wing amid militants warlords nighttime partying barker discovers becoming successful correspondent
Mr. Right,action comedy romance amasia entertainment productions circle confusion girl falls perfect happens fatal flaw hitman crime cartels employ
Grimsby,action comedy columbia pictures village roadshow pictures talk productions sony pictures releasing sony pictures entertainment working title films blue films lstar capital four films wrongfully accused assassin joins forces longlost football hooligan brother save world sinister plot
Sing Street,romance drama music cosmofilms likely story filmnation entertainment filmwave pictures palmstar media distressed films growing dublin escapes strained family life starting band impress mysterious girl likes
